日期,单位净值,日增长率
2023-10-25,1.0,0.0
2023-10-27,0.9957,0.0
2023-10-31,0.9862,0.0
2023-11-01,1.0033,1.73
2023-11-02,1.0206,1.72
2023-11-03,1.0328,1.2
2023-11-06,1.0362,0.33
2023-11-07,1.0498,1.31
2023-11-08,1.0516,0.17
2023-11-09,1.0447,-0.66
2023-11-10,1.0698,2.4
2023-11-13,1.0681,-0.16
2023-11-14,1.0908,2.13
2023-11-15,1.091,0.02
2023-11-16,1.0932,0.2
2023-11-17,1.0949,0.16
2023-11-20,1.1057,0.99
2023-11-21,1.095,-0.97
2023-11-22,1.0956,0.05
2023-11-23,1.0952,-0.04
2023-11-24,1.0913,-0.36
2023-11-27,1.0911,-0.02
2023-11-28,1.0945,0.31
2023-11-29,1.092,-0.23
2023-11-30,1.0889,-0.28
2023-12-01,1.0948,0.54
2023-12-04,1.0836,-1.02
2023-12-05,1.0883,0.43
2023-12-06,1.0821,-0.57
2023-12-07,1.0984,1.51
2023-12-08,1.1016,0.29
2023-12-11,1.1101,0.77
2023-12-12,1.119,0.8
2023-12-13,1.1314,1.11
2023-12-14,1.129,-0.21
2023-12-15,1.1322,0.28
2023-12-18,1.1388,0.58
2023-12-19,1.1468,0.7
2023-12-20,1.1291,-1.54
2023-12-21,1.1433,1.26
2023-12-22,1.1436,0.03
2023-12-25,1.1443,0.06
2023-12-26,1.1502,0.52
2023-12-27,1.1529,0.23
2023-12-28,1.1519,-0.09
2023-12-29,1.1446,-0.63
2023-12-31,1.1444,-0.02
2024-01-02,1.1245,-1.74
2024-01-03,1.1163,-0.73
2024-01-04,1.1104,-0.53
2024-01-05,1.1113,0.08
2024-01-08,1.1341,2.05
2024-01-09,1.1361,0.18
2024-01-10,1.1458,0.85
2024-01-11,1.1481,0.2
2024-01-12,1.1483,0.02
2024-01-15,1.1488,0.04
2024-01-16,1.1494,0.05
2024-01-17,1.1435,-0.51
2024-01-18,1.1602,1.46
2024-01-19,1.1826,1.93
2024-01-22,1.1819,-0.06
2024-01-23,1.1857,0.32
2024-01-24,1.1887,0.25
2024-01-25,1.1882,-0.04
2024-01-26,1.1812,-0.59
2024-01-29,1.1933,1.02
2024-01-30,1.1844,-0.75
2024-01-31,1.1611,-1.97
2024-02-01,1.1751,1.21
2024-02-02,1.1944,1.64
2024-02-05,1.1935,-0.08
2024-02-06,1.191,-0.21
2024-02-07,1.2027,0.98
2024-02-08,1.2047,0.17
2024-02-19,1.1981,-0.55
2024-02-20,1.1891,-0.75
2024-02-21,1.1842,-0.41
2024-02-22,1.2195,2.98
2024-02-23,1.2158,-0.3
2024-02-26,1.2158,0.0
2024-02-27,1.2177,0.16
2024-02-28,1.2114,-0.52
2024-02-29,1.2223,0.9
2024-03-01,1.2404,1.48
2024-03-04,1.2348,-0.45
2024-03-05,1.2129,-1.77
2024-03-06,1.2206,0.63
2024-03-07,1.2391,1.52
2024-03-08,1.2197,-1.57
2024-03-11,1.215,-0.39
2024-03-12,1.2328,1.47
2024-03-13,1.2221,-0.87
2024-03-14,1.2193,-0.23
2024-03-15,1.2054,-1.14
2024-03-18,1.2167,0.94
2024-03-19,1.2205,0.31
2024-03-20,1.2344,1.14
2024-03-21,1.2393,0.4
2024-03-22,1.2416,0.19
2024-03-25,1.2372,-0.35
2024-03-26,1.2317,-0.44
2024-03-27,1.2366,0.4
2024-03-28,1.2348,-0.15
2024-03-29,1.2348,0.0
2024-04-01,1.2371,0.19
2024-04-02,1.226,-0.9
2024-04-03,1.2282,0.18
2024-04-08,1.224,-0.34
2024-04-09,1.2292,0.42
2024-04-10,1.2182,-0.89
2024-04-11,1.2382,1.64
2024-04-12,1.2177,-1.66
2024-04-15,1.1979,-1.63
2024-04-16,1.1992,0.11
2024-04-17,1.1843,-1.24
2024-04-18,1.1775,-0.57
2024-04-19,1.1539,-2.0
2024-04-22,1.1657,1.02
2024-04-23,1.1835,1.53
2024-04-24,1.1866,0.26
2024-04-25,1.1804,-0.52
2024-04-26,1.1997,1.64
2024-04-29,1.2042,0.38
2024-04-30,1.1809,-1.93
2024-05-06,1.2235,3.61
2024-05-07,1.2233,-0.02
2024-05-08,1.2207,-0.21
2024-05-09,1.2231,0.2
2024-05-10,1.2267,0.29
2024-05-13,1.2322,0.45
2024-05-14,1.2409,0.71
2024-05-15,1.2599,1.53
2024-05-16,1.2572,-0.21
2024-05-17,1.257,-0.02
2024-05-20,1.2651,0.64
2024-05-21,1.2681,0.24
2024-05-22,1.2684,0.02
2024-05-23,1.2636,-0.38
2024-05-24,1.2761,0.99
2024-05-27,1.2764,0.02
2024-05-28,1.28,0.28
2024-05-29,1.2716,-0.66
2024-05-30,1.2587,-1.01
2024-05-31,1.2579,-0.06
2024-06-03,1.2623,0.35
2024-06-04,1.2662,0.31
2024-06-05,1.2921,2.05
2024-06-06,1.2914,-0.05
2024-06-07,1.2901,-0.1
2024-06-11,1.3047,1.13
2024-06-12,1.3219,1.32
2024-06-13,1.3293,0.56
2024-06-14,1.3356,0.47
2024-06-17,1.3519,1.22
2024-06-18,1.3523,0.03
2024-06-19,1.3524,0.01
2024-06-20,1.3424,-0.74
2024-06-21,1.3386,-0.28
2024-06-24,1.3236,-1.12
2024-06-25,1.3393,1.19
2024-06-26,1.343,0.28
2024-06-27,1.346,0.22
2024-06-28,1.3385,-0.56
2024-06-30,1.3384,-0.01
2024-07-01,1.347,0.64
2024-07-02,1.3607,1.02
2024-07-03,1.3727,0.88
2024-07-04,1.3726,-0.01
2024-07-05,1.3859,0.97
2024-07-08,1.3888,0.21
2024-07-09,1.39,0.09
2024-07-10,1.4054,1.11
2024-07-11,1.3739,-2.24
