日期,单位净值,日增长率
2020-10-22,1.0,0.0
2020-10-23,1.0002,0.02
2020-10-29,1.0002,0.0
2020-10-30,1.0001,-0.01
2020-11-04,0.9998,0.0
2020-11-05,1.0191,1.93
2020-11-06,1.0181,-0.1
2020-11-09,0.9872,-3.04
2020-11-10,0.977,-1.03
2020-11-11,0.9984,2.19
2020-11-12,0.9966,-0.18
2020-11-13,1.0036,0.7
2020-11-16,1.0042,0.06
2020-11-17,0.9993,-0.49
2020-11-18,0.9896,-0.97
2020-11-19,1.0021,1.26
2020-11-20,0.9949,-0.72
2020-11-23,0.9945,-0.04
2020-11-24,1.01,1.56
2020-11-25,1.0161,0.6
2020-11-26,1.0155,-0.06
2020-11-27,1.0255,0.98
2020-11-30,1.0267,0.12
2020-12-01,1.0387,1.17
2020-12-02,1.0395,0.08
2020-12-03,1.0393,-0.02
2020-12-04,1.0409,0.15
2020-12-07,1.0461,0.5
2020-12-08,1.0504,0.41
2020-12-09,1.027,-2.23
2020-12-10,1.0331,0.59
2020-12-11,1.0287,-0.43
2020-12-14,1.0361,0.72
2020-12-15,1.0487,1.22
2020-12-16,1.0535,0.46
2020-12-17,1.0591,0.53
2020-12-18,1.0588,-0.03
2020-12-21,1.0558,-0.28
2020-12-22,1.0582,0.23
2020-12-23,1.0507,-0.71
2020-12-24,1.0551,0.42
2020-12-25,1.0534,-0.16
2020-12-28,1.0655,1.15
2020-12-29,1.0658,0.03
2020-12-30,1.0663,0.05
2020-12-31,1.0698,0.33
2021-01-04,1.0437,-2.44
2021-01-05,1.0517,0.77
2021-01-06,1.0358,-1.51
2021-01-07,1.0622,2.55
2021-01-08,1.0775,1.44
2021-01-11,1.0623,-1.41
2021-01-12,1.0589,-0.32
2021-01-13,1.0654,0.61
2021-01-14,1.0598,-0.53
2021-01-15,1.0525,-0.69
2021-01-18,1.0551,0.25
2021-01-19,1.0715,1.55
2021-01-20,1.0923,1.94
2021-01-21,1.1008,0.78
2021-01-22,1.0994,-0.13
2021-01-25,1.1087,0.85
2021-01-26,1.1099,0.11
2021-01-27,1.0767,-2.99
2021-01-28,1.0868,0.94
2021-01-29,1.0606,-2.41
2021-02-01,1.087,2.49
2021-02-02,1.104,1.56
2021-02-03,1.0992,-0.43
2021-02-04,1.1125,1.21
2021-02-05,1.1189,0.58
2021-02-08,1.1232,0.38
2021-02-09,1.1213,-0.17
2021-02-10,1.1167,-0.41
2021-02-18,1.1202,0.31
2021-02-19,1.1146,-0.5
2021-02-22,1.0863,-2.54
2021-02-23,1.0827,-0.33
2021-02-24,1.0914,0.8
2021-02-25,1.0511,-3.69
2021-02-26,1.0601,0.86
2021-03-01,1.0903,2.85
2021-03-02,1.0734,-1.55
2021-03-03,1.0404,-3.07
2021-03-04,1.0237,-1.61
2021-03-05,1.0417,1.76
2021-03-08,1.0181,-2.27
2021-03-09,1.0586,3.98
2021-03-10,1.0532,-0.51
2021-03-11,1.0763,2.19
2021-03-12,1.0674,-0.83
2021-03-15,1.0802,1.2
2021-03-16,1.0855,0.49
2021-03-17,1.0896,0.38
2021-03-18,1.0555,-3.13
2021-03-19,1.0618,0.6
2021-03-22,1.0811,1.82
2021-03-23,1.0758,-0.49
