日期,单位净值,日增长率
2015-06-10,1.0,0.0
2015-06-12,1.0,0.0
2015-06-19,0.9995,0.0
2015-06-26,0.9953,0.0
2015-06-30,0.9914,0.0
2015-07-09,0.9891,0.0
2015-07-10,0.992,0.2932
2015-07-13,0.9979,0.5948
2015-07-14,1.0011,0.3207
2015-07-15,1.0017,0.0599
2015-07-16,1.0113,0.9584
2015-07-17,1.0202,0.8801
2015-07-20,1.0244,0.4117
2015-07-21,1.0221,-0.2245
2015-07-22,1.0121,-0.9784
2015-07-23,1.0119,-0.0198
2015-07-24,0.9962,-1.5515
2015-07-27,0.986,-1.0239
2015-07-28,0.9917,0.5781
2015-07-29,0.9935,0.1815
2015-07-30,1.0,0.6543
2015-07-31,0.9972,-0.28
2015-08-03,0.9943,-0.2908
2015-08-04,0.9881,-0.6236
2015-08-05,0.9976,0.9614
2015-08-06,0.9822,-1.5437
2015-08-07,0.9806,-0.1629
2015-08-10,0.9912,1.081
2015-08-11,0.9849,-0.6356
2015-08-12,0.9951,1.0356
2015-08-13,0.9945,-0.0603
2015-08-14,0.9976,0.3117
2015-08-17,1.0049,0.7318
2015-08-18,1.0,-0.4876
2015-08-19,0.9906,-0.94
2015-08-20,0.9586,-3.2304
2015-08-21,0.9215,-3.8702
2015-08-24,0.8786,-4.6555
2015-08-25,0.8853,0.7626
2015-08-26,0.9236,4.3262
2015-08-27,0.9483,2.6743
2015-08-28,0.9483,0.0
2015-08-31,0.9338,-1.5291
2015-09-01,0.9076,-2.8057
2015-09-02,0.9281,2.2587
2015-09-07,0.913,-1.627
2015-09-08,0.9366,2.5849
2015-09-09,0.9269,-1.0357
2015-09-10,0.9375,1.1436
2015-09-11,0.9431,0.5973
2015-09-14,0.9396,-0.3711
2015-09-15,0.9503,1.1388
2015-09-16,0.9577,0.7787
2015-09-17,0.9546,-0.3237
2015-09-18,0.9426,-1.2571
2015-09-21,0.9421,-0.053
2015-09-22,0.927,-1.6028
2015-09-23,0.9269,-0.0108
2015-09-24,0.9236,-0.356
2015-09-25,0.9159,-0.8337
2015-09-28,0.8865,-3.21
2015-09-29,0.8811,-0.6091
2015-09-30,0.9013,2.2926
2015-10-08,0.9369,3.9499
2015-10-09,0.941,0.4376
2015-10-12,0.9422,0.1275
2015-10-13,0.9331,-0.9658
2015-10-14,0.9344,0.1393
2015-10-15,0.9496,1.6267
2015-10-16,0.9545,0.516
2015-10-19,0.9608,0.66
2015-10-20,0.9569,-0.4059
2015-10-21,0.9494,-0.7838
2015-10-22,0.9691,2.075
2015-10-23,0.9966,2.8377
2015-10-26,0.997,0.0401
2015-10-27,0.9978,0.0802
2015-10-28,1.0068,0.902
2015-10-29,1.0059,-0.0894
2015-10-30,0.9994,-0.6462
2015-11-02,1.0052,0.5803
2015-11-03,1.011,0.577
2015-11-04,1.0115,0.0495
2015-11-05,1.0094,-0.2076
2015-11-06,1.0115,0.208
2015-11-09,1.0023,-0.9095
2015-11-10,0.9995,-0.2794
2015-11-11,0.999,-0.05
2015-11-12,0.9895,-0.951
2015-11-13,0.9718,-1.7888
2015-11-16,0.9863,1.4921
2015-11-17,0.9866,0.0304
2015-11-18,1.006,1.9663
2015-11-19,1.0063,0.0298
2015-11-20,1.0127,0.636
2015-11-23,1.0115,-0.1185
2015-11-24,1.0108,-0.0692
2015-11-25,1.0112,0.0396
2015-11-26,1.0115,0.0297
2015-11-27,1.0135,0.1977
2015-11-30,1.0107,-0.2763
2015-12-01,1.0215,1.0686
2015-12-02,1.0145,-0.6853
2015-12-03,0.9972,-1.7053
2015-12-04,1.0184,2.126
2015-12-07,1.0156,-0.2749
2015-12-08,1.0174,0.1772
2015-12-09,1.0026,-1.4547
2015-12-10,1.0085,0.5885
2015-12-11,0.9874,-2.0922
2015-12-14,0.9965,0.9216
2015-12-15,1.0033,0.6824
2015-12-16,1.0188,1.5449
2015-12-17,1.0063,-1.2269
2015-12-18,0.9888,-1.739
2015-12-21,0.9976,0.89
2015-12-22,1.0037,0.6115
2015-12-23,1.0111,0.7373
2015-12-24,1.0111,0.0
2015-12-25,1.0103,-0.0791
2015-12-28,1.0104,0.0099
2015-12-29,1.0275,1.6924
2015-12-30,1.0191,-0.8175
2015-12-31,1.0065,-1.2364
2016-01-04,0.9864,-1.997
2016-01-05,0.985,-0.1419
2016-01-06,0.9783,-0.6802
2016-01-07,0.9516,-2.7292
2016-01-08,0.944,-0.7987
2016-01-11,0.9464,0.2542
2016-01-12,0.9575,1.1729
2016-01-13,0.9238,-3.5196
2016-01-14,0.944,2.1866
2016-01-15,0.9147,-3.1038
2016-01-18,0.9138,-0.0984
2016-01-19,0.9154,0.1751
2016-01-20,0.9121,-0.3605
2016-01-21,0.9141,0.2193
2016-01-22,0.94,2.8334
2016-01-25,0.9254,-1.5532
2016-01-26,0.9331,0.8321
2016-01-27,0.9096,-2.5185
2016-01-28,0.9227,1.4402
2016-01-29,0.9429,2.1892
2016-02-01,0.9446,0.1803
2016-02-02,0.9235,-2.2337
2016-02-03,0.9195,-0.4331
2016-02-04,0.9174,-0.2284
2016-02-05,0.8846,-3.5753
2016-02-15,0.8797,-0.5539
2016-02-16,0.8993,2.228
2016-02-17,0.9218,2.5019
2016-02-18,0.9103,-1.2476
2016-02-19,0.9138,0.3845
2016-02-22,0.9282,1.5758
2016-02-23,0.914,-1.5298
2016-02-24,0.9226,0.9409
2016-02-25,0.9313,0.943
2016-02-26,0.9303,-0.1074
